IP,Name,New_Server,Old_ACL,Updated,Site
192.168.99.51,,150,,,SCH
192.168.99.50,,150,,,SCH
192.168.99.49,,150,,,SCH
192.168.99.48,,150,,,SCH
192.168.99.47,,150,,,SCH
192.168.99.46,,150,,,SCH
192.168.99.45,,150,,,SCH
192.168.99.44,,150,,,SCH
192.168.99.43,,150,,,SCH
192.168.99.42,,150,,,SCH
192.168.99.41,,150,,,SCH
192.168.99.40,,150,,,SCH
192.168.99.39,,150,,,SCH
192.168.99.38,,150,,,SCH
192.168.99.37,,150,,,SCH
192.168.99.36,,150,,,SCH
192.168.99.35,,150,,,SCH
192.168.99.34,,150,,,SCH
192.168.99.33,,150,,,SCH
192.168.99.32,,150,,,SCH
192.168.99.31,,150,,,SCH
192.168.99.30,,150,,,SCH
192.168.99.29,,150,,,SCH
192.168.99.28,,150,,,SCH
192.168.99.27,,150,,,SCH
192.168.99.26,,150,,,SCH
192.168.99.25,,150,,,SCH
192.168.99.24,,150,,,SCH
192.168.99.23,,150,,,SCH
192.168.99.22,,150,,,SCH
192.168.99.21,,150,,,SCH
192.168.99.20,,150,,,SCH
192.168.99.19,,150,,,SCH
192.168.99.18,,150,,,SCH
192.168.99.17,,150,,,SCH
192.168.99.16,,150,,,SCH
192.168.99.15,,150,,,SCH
192.168.99.14,,150,,,SCH
192.168.99.13,,150,,,SCH
192.168.99.12,,150,,,SCH
192.168.99.11,,150,,,SCH
192.168.99.10,,150,,,SCH
192.168.99.9,,150,,,SCH
192.168.99.8,,150,,,SCH
192.168.99.7,,150,,,SCH
192.168.99.6,,150,,,SCH
192.168.99.5,,150,,,SCH
192.168.99.4,,150,,,SCH
192.168.99.3,,150,,,SCH
192.168.99.2,,150,,,SCH
192.168.99.1,,150,,,SCH
192.168.99.0,,150,,,SCH
